image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,94.17,89.44,88.65,-1
13172,-1,-1,-1,-1
11622,-1,81.72,93.81,98.58
13994,-1,97.98,71.23,-1
13893,97.91,93.01,99.08,-1
13933,98.89,-1,-1,-1
14406,74.0,-1,14.75,-1
14177,97.49,-1,-1,-1
14332,-1,-1,-1,81.59
14664,58.04,0.0,-1,94.63
12808,93.51,65.86,-1,-1
12660,11.77,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,97.5
14156,96.69,1.16,-1,-1
15476,96.25,-1,-1,-1
11246,-1,-1,-1,-1
12620,93.67,80.15,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,98.38,93.97,99.47
11179,-1,35.96,-1,-1
12283,-1,98.37,94.84,87.0
15437,25.53,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,0.0,-1,-1,-1
16074,98.09,-1,-1,-1
13233,99.75,97.56,-1,-1
15207,71.01,45.85,-1,-1
15276,-1,50.08,87.87,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,98.22,-1,-1,98.67
15812,97.52,94.59,74.96,-1
14315,97.03,59.76,-1,-1
12707,-1,95.64,81.23,-1
12074,-1,-1,-1,-1
13804,0.0,99.02,-1,-1
15002,-1,84.12,99.58,-1
10857,80.86,99.63,21.51,88.44
15020,-1,-1,-1,-1
13814,97.65,90.45,-1,-1
13161,-1,80.55,-1,-1
11587,96.4,94.26,-1,-1
10787,-1,-1,-1,67.8
11951,88.23,96.54,93.54,-1
12614,-1,-1,-1,-1
10909,-1,54.96,-1,-1
12127,-1,93.68,-1,-1
12565,99.35,96.31,-1,0.0
14784,-1,-1,-1,91.84
12452,-1,-1,-1,-1
14528,82.56,74.41,-1,-1
15663,-1,-1,-1,-1
13967,96.4,0.0,-1,-1
12812,94.97,-1,89.47,-1
12220,98.37,95.6,-1,24.54
13351,-1,-1,-1,63.93
14017,94.14,-1,-1,-1
12918,0.0,0.0,42.73,91.16
13092,97.88,-1,-1,-1
12348,-1,-1,99.42,-1
14202,98.46,-1,-1,-1
12817,-1,94.65,0.0,-1
12778,-1,-1,-1,-1
11997,96.39,-1,97.02,93.46
12046,97.86,56.64,94.19,-1
13874,97.76,98.99,-1,-1
13649,60.59,78.37,-1,-1
13381,-1,-1,-1,-1
11479,99.52,-1,-1,-1
13747,89.9,88.15,0.0,-1
15452,97.75,-1,-1,-1
11483,-1,-1,99.15,-1
14241,-1,7.11,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,81.19
13383,-1,-1,-1,-1
12061,95.37,-1,-1,-1
12289,-1,-1,-1,-1
12028,98.98,-1,-1,-1
15858,37.59,69.91,64.58,-1
13278,-1,98.83,-1,-1
10893,-1,-1,-1,81.3
11637,16.34,85.31,-1,-1
11331,-1,58.52,74.37,-1
12287,-1,-1,-1,-1
14660,71.98,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,0.0,99.71,98.01,-1
12213,90.27,-1,-1,-1
12676,78.85,86.56,94.64,-1
13070,-1,98.72,-1,-1
11350,-1,-1,92.78,-1
13687,-1,-1,-1,-1
15283,0.0,77.47,0.0,-1
12233,-1,-1,-1,-1
15277,68.55,99.9,88.79,-1
11706,-1,94.21,0.0,100.0
15368,98.0,0.0,-1,-1
12962,-1,95.13,-1,-1
13585,83.59,90.96,-1,97.51
15028,-1,43.54,-1,-1
12391,-1,86.83,-1,84.65
12491,98.75,91.34,91.2,-1
13062,-1,-1,-1,-1
11507,-1,-1,-1,-1
15259,37.78,-1,-1,-1
15341,97.56,-1,-1,-1
12450,-1,-1,-1,-1
12448,-1,-1,-1,-1
11431,-1,-1,-1,-1
13721,40.63,97.89,53.61,-1
13229,-1,93.68,-1,-1
12659,4.72,10.81,0.0,-1
11433,36.15,-1,89.94,-1
13061,-1,-1,-1,-1
12715,-1,-1,99.34,-1
13407,-1,95.87,0.0,-1
14065,93.91,-1,-1,-1
15077,97.67,89.31,-1,-1
12868,97.95,-1,-1,-1
14427,-1,-1,-1,-1
11719,95.11,96.08,-1,99.81
15286,-1,-1,94.29,-1
12946,97.28,0.0,69.02,-1
10878,-1,-1,98.6,96.0
11071,-1,98.31,-1,-1
13386,-1,-1,-1,-1
15877,-1,-1,-1,-1
12530,-1,-1,-1,-1
13969,15.55,-1,-1,-1
15708,-1,-1,-1,-1
11856,-1,-1,-1,-1
12463,0.0,95.88,-1,-1
11767,-1,-1,-1,-1
15138,-1,-1,-1,-1
12064,-1,-1,-1,-1
12441,-1,69.56,-1,-1
13433,-1,0.0,-1,-1
11963,0.0,98.07,-1,74.18
10939,-1,-1,-1,65.48
16297,99.23,-1,-1,-1
15393,99.45,-1,-1,-1
14147,-1,99.16,-1,-1
11173,-1,52.74,-1,-1
10964,-1,-1,-1,96.93
15597,-1,-1,-1,-1
12955,-1,81.93,99.33,-1
11642,90.14,33.62,80.29,-1
15998,-1,-1,-1,-1
13346,-1,-1,-1,-1
11170,0.0,96.27,-1,92.34
15430,93.79,-1,-1,-1
14257,-1,-1,-1,99.98
15588,98.56,-1,-1,-1
11232,-1,99.75,-1,-1
12471,98.46,99.92,94.1,-1
16229,-1,81.59,-1,-1
14831,-1,-1,-1,60.84
13305,-1,-1,-1,96.19
13625,94.77,0.0,-1,-1
10863,0.0,-1,-1,-1
12836,-1,-1,-1,-1
11888,77.82,90.92,-1,34.11
13374,-1,93.47,-1,-1
11467,-1,-1,99.64,-1
12641,-1,-1,-1,-1
13146,-1,97.01,-1,92.03
11621,-1,99.15,30.81,92.21
13767,98.0,96.34,-1,-1
10941,-1,56.33,-1,99.5
11463,-1,-1,-1,-1
12497,-1,0.0,56.45,79.53
16024,-1,-1,-1,-1
10862,94.77,89.21,-1,-1
12274,0.11,92.12,83.48,-1
14256,-1,-1,-1,-1
12841,0.0,-1,100.0,89.8
14963,-1,-1,-1,-1
14179,86.76,-1,-1,-1
11167,0.0,68.61,-1,-1
13794,93.77,-1,-1,97.4
11705,-1,99.16,98.32,100.0
11106,-1,-1,-1,-1
13235,0.0,-1,58.13,-1
12953,60.42,95.34,42.51,-1
12982,-1,99.11,-1,98.0
15825,-1,98.75,-1,-1
11429,99.91,-1,-1,-1
13057,-1,-1,-1,-1
13922,-1,-1,-1,-1
11351,0.0,-1,99.83,-1
11808,100.0,-1,-1,67.3
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,53.69,-1,41.39,-1
12096,95.8,97.2,-1,-1
11557,62.2,-1,-1,-1
11781,98.19,-1,-1,-1
11328,-1,98.23,-1,-1
13704,84.78,91.37,-1,-1
11934,-1,-1,-1,-1
14851,27.67,-1,-1,92.86
12251,96.61,66.61,-1,-1
14229,-1,-1,-1,98.18
11658,97.54,-1,-1,-1
12058,-1,93.84,-1,-1
14085,90.65,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,99.2,75.19,-1,-1
11210,-1,28.9,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,97.29,-1,92.09,-1
13560,-1,-1,-1,-1
12993,0.0,98.91,-1,-1
11367,96.39,0.0,87.8,-1
15685,87.29,-1,-1,-1
14771,99.38,-1,98.62,-1
12473,-1,99.62,-1,-1
13343,6.21,-1,24.35,91.78
16043,-1,-1,-1,-1
11486,55.6,91.45,-1,-1
11079,-1,-1,-1,-1
13896,98.3,87.37,52.45,-1
14855,96.8,89.42,-1,96.69
10802,6.05,-1,-1,-1
11917,99.31,0.0,0.0,-1
15606,-1,-1,90.65,-1
11127,96.8,96.92,-1,-1
14145,-1,56.53,36.73,-1
13635,-1,96.89,-1,-1
15826,-1,97.25,-1,-1
14918,-1,56.5,-1,-1
11052,-1,92.97,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,91.44,43.35,-1,-1
12171,-1,0.0,-1,-1
14897,-1,-1,99.29,-1
11603,-1,-1,58.75,90.48
13039,-1,-1,-1,-1
12334,-1,-1,0.0,79.79
12540,-1,99.57,-1,51.05
13713,-1,0.0,94.66,-1
10938,-1,-1,-1,93.25
14181,96.8,-1,-1,-1
14239,-1,-1,-1,-1
13073,99.03,-1,-1,-1
13123,41.44,-1,-1,-1
11025,-1,0.0,-1,81.83
11012,97.2,97.33,99.55,-1
15348,99.51,-1,-1,-1
14287,98.98,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,97.21,95.94,-1,-1
12655,-1,-1,97.09,-1
13894,98.85,95.09,71.95,-1
14520,-1,-1,-1,-1
10958,-1,9.22,-1,87.74
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,72.58
11439,-1,-1,-1,-1
12043,85.67,90.0,-1,-1
13130,98.39,97.57,-1,-1
13524,-1,96.26,-1,-1
10833,-1,-1,12.29,-1
14909,98.96,-1,95.65,-1
11061,-1,-1,-1,98.81
14819,-1,93.02,98.37,-1
12466,-1,53.18,97.13,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,89.3,59.79,-1,-1
11214,74.41,43.01,-1,-1
13065,-1,56.67,-1,-1
15016,-1,79.23,-1,-1
12522,-1,-1,-1,-1
12085,99.37,91.9,-1,-1
14073,99.85,-1,-1,-1
11829,-1,-1,0.0,89.74
13359,-1,-1,-1,70.05
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,81.65
14845,89.78,-1,-1,96.87
11828,-1,-1,-1,56.39
11539,95.57,32.06,-1,-1
15359,99.19,-1,-1,-1
10839,-1,-1,0.0,86.8
11237,99.81,92.67,-1,46.25
12712,98.86,94.79,99.12,-1
15402,98.17,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,13.22,-1,83.0
12116,-1,99.24,-1,99.67
12697,-1,-1,-1,-1
12816,14.84,53.53,-1,-1
14740,-1,8.37,-1,-1
12308,79.95,92.58,91.95,-1
16498,93.9,97.63,-1,-1
16296,98.06,-1,-1,-1
13965,94.93,0.0,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,0.35,-1,-1,-1
12117,-1,84.04,-1,94.75
10944,-1,98.22,-1,-1
12745,-1,-1,-1,-1
13657,96.73,85.54,98.45,91.76
12623,-1,93.33,100.0,-1
11662,98.28,0.0,-1,99.28
12405,-1,10.39,72.98,93.03
12331,-1,92.02,70.16,-1
10931,-1,-1,-1,26.91
12900,0.0,-1,-1,92.54
11594,-1,-1,-1,88.44
15562,-1,-1,-1,-1
14821,-1,-1,92.78,-1
15840,91.29,92.48,-1,-1
15183,-1,-1,97.55,-1
12090,-1,-1,-1,-1
12819,-1,92.7,27.28,17.84
12542,-1,93.48,87.34,97.12
12972,-1,-1,-1,-1
11561,98.55,0.0,79.4,-1
13245,99.29,-1,-1,-1
10907,96.55,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,99.24,-1,14.88,-1
15358,99.26,-1,-1,-1
14021,-1,0.0,-1,-1
14055,91.52,94.74,72.97,-1
10929,-1,-1,-1,97.02
14532,99.06,92.54,-1,-1
12330,-1,-1,98.72,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,97.88,-1,-1,-1
10943,-1,90.73,-1,-1
14161,96.41,-1,-1,-1
11303,-1,0.0,-1,-1
12680,0.0,52.53,45.37,-1
13345,-1,-1,-1,63.28
12457,-1,-1,99.77,93.54
13120,69.66,98.2,-1,-1
15357,98.49,-1,-1,-1
